288, 250, 37, 51, 0.22015181
  686, 136, 35, 48, 0.21838063
  211, 535, 49, 33, 0.21539544
  142, 283, 41, 50, 0.20647559
  436, 146, 51, 41, 0.19381517
  76, 196, 53, 43, 0.18533169
  486, 256, 48, 43, 0.17920248
  327, 460, 37, 51, 0.17754903
  682, 130, 41, 53, 0.17204954
  401, 396, 43, 48, 0.15866457
  143, 22, 51, 92, 0.15336227
  382, 343, 50, 47, 0.15155987
  676, 136, 48, 43, 0.14610143
  145, 283, 50, 50, 0.144613
  685, 136, 35, 65, 0.14434476
  211, 535, 50, 44, 0.1440541
  211, 526, 50, 41, 0.14323679
  287, 244, 42, 62, 0.14270003
  686, 136, 48, 43, 0.14265448
  196, 536, 65, 33, 0.14052886
  367, 154, 47, 44, 0.14008424
  142, 280, 43, 67, 0.13931774
  404, 388, 37, 60, 0.1384743
  286, 250, 53, 50, 0.13720462
  274, 250, 53, 50, 0.13529821
  327, 456, 39, 65, 0.13501936
  286, 236, 40, 65, 0.13499124
  683, 118, 37, 63, 0.13441685
  322, 460, 53, 50, 0.134038
  487, 250, 56, 47, 0.13373099
  213, 536, 46, 54, 0.13314047
  286, 249, 40, 72, 0.13116863
  436, 149, 65, 38, 0.1310081
  385, 343, 55, 102, 0.13088213
  211, 536, 65, 36, 0.13056339
  147, 266, 38, 69, 0.12931716
  487, 256, 47, 59, 0.12866794
  476, 255, 61, 42, 0.12790051
  143, 29, 69, 87, 0.12564743
  127, 283, 56, 50, 0.12477788
  670, 130, 50, 53, 0.12430758
  147, 28, 35, 48, 0.1238912
  436, 147, 49, 67, 0.1237203
  369, 150, 116, 49, 0.12366337
  373, 336, 65, 107, 0.12262589
  147, 283, 67, 49, 0.12116585
  432, 142, 67, 49, 0.11850626
  147, 285, 37, 89, 0.11760233
  687, 136, 33, 85, 0.11674361
  132, 28, 63, 92, 0.11553308
  656, 136, 65, 48, 0.11452073
  431, 131, 56, 56, 0.11408493
  308, 461, 56, 53, 0.11344415
  281, 248, 53, 56, 0.11280183
  401, 149, 85, 38, 0.1118241
  213, 499, 46, 69, 0.10990115
  144, 27, 49, 127, 0.10867643
  323, 446, 42, 65, 0.10792418
  144, 24, 87, 91, 0.10706764
  288, 246, 39, 95, 0.10629354
  487, 236, 48, 62, 0.10545505
  147, 272, 37, 89, 0.10510997
  77, 196, 80, 46, 0.10498721
  687, 136, 69, 44, 0.1048848
  147, 247, 37, 86, 0.10456084
  76, 196, 63, 63, 0.10277452
  347, 343, 92, 100, 0.1025647
  76, 166, 55, 71, 0.1021724
  368, 149, 119, 72, 0.10168661
  384, 336, 48, 89, 0.10167937
  109, 283, 76, 49, 0.10163531
  436, 109, 49, 80, 0.10111139
  493, 253, 42, 38, 0.10107039
  375, 343, 67, 46, 0.10102952
  114, 22, 79, 92, 0.10040822
  145, 261, 49, 71, 0.10036221
  436, 128, 63, 59, 0.09992598
  286, 248, 74, 55, 0.099357605
  213, 535, 86, 35, 0.099296689
  404, 379, 42, 65, 0.099275216
  132, 274, 52, 62, 0.099151582
  145, 283, 27, 50, 0.098877273
  682, 97, 39, 83, 0.098533943
  204, 535, 67, 49, 0.098384567
  394, 388, 53, 59, 0.098298222
  76, 195, 55, 76, 0.097989485
  172, 536, 89, 37, 0.097267471
  154, 29, 29, 53, 0.097026147
  391, 379, 47, 65, 0.096780472
  679, 130, 67, 49, 0.096668988
  435, 150, 89, 39, 0.096558295
  367, 154, 47, 65, 0.09629254
  78, 196, 105, 137, 0.096264131
